Market,Selection,Odds,matchup,timestamp
Money Line – Game,Wellman Fukien,2.25,Wellman Fukien vs Winling,2025-12-02 02:14:46
Money Line – Game,Winling,1.537,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +5.0,1.598,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -5.0,2.11,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +4.5,1.645,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -4.5,2.04,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +4.0,1.694,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -4.0,1.97,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +3.5,1.757,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -3.5,1.9,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +3.0,1.833,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -3.0,1.826,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +2.5,1.917,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -2.5,1.751,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +2.0,2.0,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -2.0,1.684,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +1.5,2.07,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -1.5,1.628,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien +1.0,2.13,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling -1.0,1.588,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien -1.0,2.24,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling +1.0,1.526,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Wellman Fukien -1.5,2.3,Wellman Fukien vs Winling,2025-12-02 02:14:46
Handicap – Game,Winling +1.5,1.497,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 156,1.636,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 156,2.08,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 156.5,1.671,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 156.5,2.02,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 157,1.709,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 157,1.97,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 157.5,1.757,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 157.5,1.917,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 158,1.8,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 158,1.862,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 158.5,1.854,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 158.5,1.813,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 159,1.909,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 159,1.757,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 159.5,1.97,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 159.5,1.714,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 160,2.02,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 160,1.671,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 160.5,2.08,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 160.5,1.632,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Over 161,2.13,Wellman Fukien vs Winling,2025-12-02 02:14:46
Total – Game,Under 161,1.602,Wellman Fukien vs Winling,2025-12-02 02:14:46
Money Line – Game,Wellman Fukien,2.25,Wellman Fukien vs Winling,2025-12-02 02:23:05
Money Line – Game,Winling,1.537,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +5.0,1.598,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -5.0,2.11,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +4.5,1.645,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -4.5,2.04,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +4.0,1.694,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -4.0,1.97,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +3.5,1.757,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -3.5,1.9,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +3.0,1.833,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -3.0,1.826,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +2.5,1.917,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -2.5,1.751,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +2.0,2.0,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -2.0,1.684,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +1.5,2.07,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -1.5,1.628,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien +1.0,2.13,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling -1.0,1.588,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien -1.0,2.24,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling +1.0,1.526,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Wellman Fukien -1.5,2.3,Wellman Fukien vs Winling,2025-12-02 02:23:05
Handicap – Game,Winling +1.5,1.497,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 156,1.636,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 156,2.08,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 156.5,1.671,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 156.5,2.02,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 157,1.709,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 157,1.97,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 157.5,1.757,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 157.5,1.917,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 158,1.8,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 158,1.862,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 158.5,1.854,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 158.5,1.813,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 159,1.909,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 159,1.757,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 159.5,1.97,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 159.5,1.714,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 160,2.02,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 160,1.671,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 160.5,2.08,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 160.5,1.632,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Over 161,2.13,Wellman Fukien vs Winling,2025-12-02 02:23:05
Total – Game,Under 161,1.602,Wellman Fukien vs Winling,2025-12-02 02:23:05
Money Line – Game,Wellman Fukien,2.27,Wellman Fukien vs Winling,2025-12-02 03:41:24
Money Line – Game,Winling,1.529,Wellman Fukien vs Winling,2025-12-02 03:41:24
Handicap – Game,Wellman Fukien +5.5,1.555,Wellman Fukien vs Winling,2025-12-02 03:41:24
Handicap – Game,Winling -5.5,2.18,Wellman Fukien vs Winling,2025-12-02 03:41:24
