team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Basket Brno,KK Parnu,https://www.pinnacle.com/en/basketball/fiba-europe-cup/basket-brno-vs-kk-parnu/1616031499/,1.264,3.71,-7.5,1.847,7.5,1.97,163.5,1.961,163.5,1.862,2025-09-24 01:56:11
Bashkimi,Anwil Wloclawek,https://www.pinnacle.com/en/basketball/fiba-europe-cup/bashkimi-vs-anwil-wloclawek/1616037541/,5.21,1.145,10.0,1.97,-10.0,1.847,161.0,1.892,161.0,1.925,2025-09-24 01:56:11
KK Bosna Royal Sarajevo,Kangoeroes Mechelen,https://www.pinnacle.com/en/basketball/fiba-europe-cup/kk-bosna-royal-sarajevo-vs-kangoeroes-mechelen/1616031501/,1.386,2.99,-6.5,1.99,6.5,1.833,161.5,1.917,161.5,1.9,2025-09-24 01:56:11
Rasta Vechta,Balkan Botevgrad,https://www.pinnacle.com/en/basketball/fiba-europe-cup/rasta-vechta-vs-balkan-botevgrad/1616031036/,1.132,5.51,-12.0,1.961,12.0,1.862,164.5,1.892,164.5,1.925,2025-09-24 01:56:11
KK Bosna Royal Sarajevo,Kangoeroes Mechelen,https://www.pinnacle.com/en/basketball/fiba-europe-cup/kk-bosna-royal-sarajevo-vs-kangoeroes-mechelen/1616031501/,1.386,2.99,-6.5,1.99,6.5,1.833,161.5,1.917,161.5,1.9,2025-09-24 03:47:59
Rasta Vechta,Balkan Botevgrad,https://www.pinnacle.com/en/basketball/fiba-europe-cup/rasta-vechta-vs-balkan-botevgrad/1616031036/,1.132,5.51,-12.0,1.961,12.0,1.862,164.5,1.892,164.5,1.925,2025-09-24 03:47:59
Bashkimi,Anwil Wloclawek,https://www.pinnacle.com/en/basketball/fiba-europe-cup/bashkimi-vs-anwil-wloclawek/1616037541/,5.21,1.145,10.0,1.97,-10.0,1.847,161.0,1.892,161.0,1.925,2025-09-24 03:47:59
Csm Corona Brasov,BC Dnipro,https://www.pinnacle.com/en/basketball/fiba-europe-cup/csm-corona-brasov-vs-bc-dnipro/1616031503/,1.346,3.18,-6.5,1.952,6.5,1.862,153.5,1.854,153.5,1.97,2025-09-24 03:47:59
Basket Brno,KK Parnu,https://www.pinnacle.com/en/basketball/fiba-europe-cup/basket-brno-vs-kk-parnu/1616031499/,1.275,3.63,-7.5,1.892,7.5,1.925,163.5,1.961,163.5,1.854,2025-09-24 03:47:59
Absheron BC,Anorthosis Famagusta,https://www.pinnacle.com/en/basketball/fiba-europe-cup/absheron-bc-vs-anorthosis-famagusta/1616031502/,1.183,4.57,-8.5,1.877,8.5,1.943,153.5,1.884,153.5,1.934,2025-09-24 03:47:59
KK Cibona,BC Prievidza,https://www.pinnacle.com/en/basketball/fiba-europe-cup/kk-cibona-vs-bc-prievidza/1616031500/,1.465,2.7,-4.5,1.943,4.5,1.877,160.0,1.884,160.0,1.934,2025-09-24 03:47:59
Absheron BC,Anorthosis Famagusta,https://www.pinnacle.com/en/basketball/fiba-europe-cup/absheron-bc-vs-anorthosis-famagusta/1616031502/,1.183,4.57,-8.5,1.877,8.5,1.943,153.5,1.884,153.5,1.934,2025-09-24 03:58:24
Csm Corona Brasov,BC Dnipro,https://www.pinnacle.com/en/basketball/fiba-europe-cup/csm-corona-brasov-vs-bc-dnipro/1616031503/,1.346,3.18,-6.5,1.952,6.5,1.862,153.5,1.854,153.5,1.97,2025-09-24 03:58:24
Basket Brno,KK Parnu,https://www.pinnacle.com/en/basketball/fiba-europe-cup/basket-brno-vs-kk-parnu/1616031499/,1.275,3.63,-7.5,1.892,7.5,1.925,163.5,1.961,163.5,1.854,2025-09-24 03:58:24
KK Cibona,BC Prievidza,https://www.pinnacle.com/en/basketball/fiba-europe-cup/kk-cibona-vs-bc-prievidza/1616031500/,1.465,2.7,-4.5,1.943,4.5,1.877,160.0,1.884,160.0,1.934,2025-09-24 03:58:24
Bashkimi,Anwil Wloclawek,https://www.pinnacle.com/en/basketball/fiba-europe-cup/bashkimi-vs-anwil-wloclawek/1616037541/,5.21,1.145,10.0,1.97,-10.0,1.847,161.0,1.892,161.0,1.925,2025-09-24 03:58:24
