Market,Selection,Odds,matchup,timestamp
Total – Game,Over 150.5,2.1,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Total – Game,Under 150.5,1.684,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Total – Game,Over 151,2.15,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Total – Game,Over 146,1.653,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Total – Game,Under 148.5,1.833,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -4.0,1.564,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Total – Game,Under 151,1.649,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -4.5,1.609,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Money Line – Game,UE Red Warriors,3.1,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Money Line – Game,NU Bulldogs,1.268,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +9.0,1.564,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -9.0,2.27,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +8.5,1.609,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -8.5,2.19,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +4.0,2.27,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -8.0,2.11,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +7.5,1.719,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -7.5,2.03,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +8.0,1.657,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -7.0,1.952,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +7.0,1.787,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -5.0,1.657,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +5.0,2.11,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -5.5,1.719,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +4.5,2.19,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -6.0,1.787,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +6.0,1.952,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,NU Bulldogs -6.5,1.833,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +6.5,1.833,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Handicap – Game,UE Red Warriors +5.5,2.03,UE Red Warriors vs NU Bulldogs,2025-09-20 23:48:09
Total – Game,Under 146,2.14,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Over 146.5,1.689,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Under 146.5,2.09,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Over 147,1.729,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Under 147,2.03,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Over 147.5,1.769,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Under 147.5,1.98,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Over 148,1.819,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Over 148.5,1.833,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Under 151,1.649,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Over 149,1.925,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Under 149,1.813,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Over 149.5,1.99,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
Total – Game,Under 149.5,1.763,UE Red Warriors vs NU Bulldogs,2025-09-20 23:59:58
